domain,method,Rel,Faith,Cov,FRR,Lat
conditionalqa,arda_sr,0.9056,0.7589,0.72,0.047619047619047616,7.266
conditionalqa,selfrag,0.8844,0.9111,0.7489,0.07142857142857142,3.099
conditionalqa,standard_rag,0.66,0.8811,0.5511,0.375,1.222
cuad,arda_sr,0.7744,0.8078,0.6978,0.3218390804597701,8.284
cuad,selfrag,0.6689,0.8244,0.66,0.7126436781609196,4.263
cuad,standard_rag,0.2756,0.8722,0.2633,0.8505747126436781,1.222
financebench,arda_sr,0.644,0.6227,0.52,0.2733333333333333,7.701
financebench,selfrag,0.688,0.8107,0.6147,0.44,3.594
financebench,standard_rag,0.4373,0.8707,0.3787,0.6466666666666666,1.287
pakdwi,arda_sr,0.9577,0.9829,0.9351,0.04040404040404041,9.259
pakdwi,selfrag,0.8721,0.9694,0.836,0.1919191919191919,2.991
pakdwi,standard_rag,0.773,0.9928,0.6721,0.30303030303030304,1.229
pubmedqa,arda_sr,0.894,0.846,0.706,0.115,6.588
pubmedqa,selfrag,0.896,0.947,0.762,0.11,2.922
pubmedqa,standard_rag,0.673,0.94,0.498,0.325,1.306
